School,G,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Utah State,32,2337,2248,828,1779,.465,245,646,.379,436,624,.699,256,1144,492,159,92,391,605
Utah Valley,34,2615,2479,886,2028,.437,300,937,.320,543,767,.708,306,1350,530,216,123,522,667
Utah,32,2511,2180,936,1856,.504,215,609,.353,424,622,.682,321,1217,476,195,113,431,539
Valparaiso,33,2465,2274,848,1912,.444,217,670,.324,552,712,.775,351,1251,422,211,96,425,621
Vanderbilt ,35,2489,2385,815,1896,.430,346,921,.376,513,660,.777,286,1208,450,147,133,430,581
Vermont ,35,2571,2174,943,1909,.494,229,621,.369,456,651,.700,326,1192,476,199,151,392,555
Villanova ,36,2779,2256,965,1948,.495,311,843,.369,538,681,.790,316,1208,505,259,109,402,515
Virginia Commonwealth ,35,2616,2343,945,2050,.461,199,602,.331,527,747,.705,386,1275,525,263,138,435,728
VMI,30,2057,2346,732,1778,.412,248,786,.316,345,500,.690,306,992,356,188,114,395,594
Virginia Tech ,33,2610,2465,887,1813,.489,290,720,.403,546,741,.737,240,1068,497,131,91,398,543
Virginia ,34,2246,1916,839,1823,.460,232,602,.385,336,474,.709,297,1119,473,190,138,324,556
Wagner,30,2047,1973,727,1700,.428,183,552,.332,410,593,.691,434,1184,326,146,108,422,616
Wake Forest ,33,2733,2588,923,1955,.472,268,697,.385,619,795,.779,349,1199,512,183,121,389,668
Washington State,31,2179,2376,801,1739,.461,209,574,.364,368,487,.756,199,993,453,130,85,389,502
Washington,31,2368,2513,874,1949,.448,226,639,.354,394,602,.654,401,1161,408,187,171,425,628
Weber State,34,2714,2505,908,1866,.487,312,749,.417,584,788,.741,221,1103,443,176,117,380,596
West Virginia ,37,3014,2467,1059,2333,.454,275,759,.362,621,907,.685,534,1387,607,371,176,455,756
Western Carolina,32,1965,2347,719,1843,.390,182,592,.307,345,528,.653,397,1158,363,198,75,516,661
Western Illinois,28,2012,2151,711,1633,.435,254,654,.388,336,475,.707,184,968,375,130,124,358,546
Western Kentucky,32,2209,2302,777,1767,.440,214,606,.353,441,657,.671,302,1119,397,143,105,388,475
Western Michigan,32,2417,2408,863,1915,.451,209,563,.371,482,685,.704,370,1155,414,183,91,399,600
Wichita State ,36,2916,2246,992,2114,.469,310,769,.403,622,848,.733,433,1472,586,235,140,406,676
William & Mary,31,2534,2411,887,1808,.491,283,740,.382,477,689,.692,271,1123,543,167,152,388,566
Winthrop ,33,2615,2322,891,1957,.455,313,839,.373,520,725,.717,316,1224,423,216,169,430,605
Wisconsin ,37,2678,2308,971,2135,.455,283,788,.359,453,703,.644,460,1377,504,250,130,411,602
Wofford,33,2593,2479,900,1926,.467,311,771,.403,482,619,.779,323,1105,552,185,71,405,614
Wright State,32,2465,2317,817,1819,.449,285,749,.381,546,715,.764,326,1136,472,181,75,474,594
Wyoming,38,2961,2833,986,2265,.435,369,1055,.350,620,849,.730,322,1446,561,195,172,502,783
Xavier ,38,2836,2711,981,2148,.457,267,776,.344,607,881,.689,451,1417,559,228,100,478,708
Yale,29,2151,2028,769,1644,.468,208,582,.357,405,553,.732,301,1056,452,162,123,377,454
Youngstown State,34,2616,2801,981,2230,.440,250,750,.333,404,601,.672,355,1246,513,187,107,406,566
