School,G,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Marquette ,32,2631,2418,919,1888,.487,336,783,.429,457,585,.781,280,1058,525,231,115,396,620
Marshall,35,2997,2939,1021,2237,.456,356,962,.370,599,816,.734,325,1291,576,211,140,433,643
Maryland-Baltimore County,34,2759,2624,957,2041,.469,330,840,.393,515,691,.745,307,1199,507,224,80,411,625
Maryland-Eastern Shore,34,2424,2583,854,2013,.424,262,765,.342,456,668,.683,337,1142,449,193,89,425,665
Maryland ,33,2438,2246,827,1840,.449,272,757,.359,512,732,.699,351,1173,472,180,154,426,613
Massachusetts-Lowell,31,2429,2517,877,1825,.481,258,662,.390,417,567,.735,280,1038,495,171,64,474,622
Massachusetts,33,2371,2372,847,1939,.437,234,789,.297,443,671,.660,333,1185,529,250,169,489,722
McNeese State,29,2043,2292,715,1697,.421,195,587,.332,418,610,.685,285,977,302,159,91,403,573
Memphis,32,2367,2262,852,1926,.442,181,613,.295,482,706,.683,373,1172,508,221,150,368,534
Mercer,32,2269,2184,787,1774,.444,244,698,.350,449,574,.782,367,1174,433,134,74,367,546
Miami (FL) ,33,2278,2116,813,1800,.452,209,587,.356,443,617,.718,363,1176,389,213,125,417,513
Miami (OH),32,2249,2384,787,1815,.434,199,647,.308,476,689,.691,298,1091,364,238,125,467,642
Michigan State ,35,2515,2404,905,1927,.470,273,732,.373,432,646,.669,328,1275,591,151,162,490,699
Michigan ,38,2851,2523,1002,2076,.483,361,937,.385,486,624,.779,280,1111,527,220,108,348,571
Middle Tennessee ,36,2697,2299,1014,2077,.488,228,622,.367,441,631,.699,355,1273,552,242,100,374,655
Milwaukee,35,2347,2494,860,1949,.441,272,782,.348,355,538,.660,280,1107,467,164,53,409,641
Minnesota ,34,2556,2361,887,2037,.435,209,610,.343,573,806,.711,378,1341,507,194,227,393,577
Mississippi State,32,2320,2281,821,1849,.444,247,711,.347,431,627,.687,310,1130,386,239,131,433,638
Mississippi Valley State,32,2235,2665,818,1942,.421,174,508,.343,423,651,.650,385,1108,374,218,60,460,624
Mississippi,36,2807,2747,914,2162,.423,283,815,.347,696,926,.752,458,1422,465,243,149,516,702
Missouri-Kansas City,35,2691,2753,911,2076,.439,315,848,.371,554,777,.713,353,1213,451,236,92,510,772
Missouri State,33,2403,2277,838,1895,.442,270,744,.363,457,652,.701,377,1212,403,176,127,406,585
Missouri,32,2213,2333,744,1893,.393,225,739,.304,500,732,.683,357,1168,386,200,68,384,647
Monmouth,34,2761,2504,929,2127,.437,303,813,.373,600,793,.757,380,1310,431,235,155,425,697
Montana State,32,2561,2532,857,1968,.435,320,853,.375,527,722,.730,336,1167,423,181,74,393,732
Montana,32,2391,2348,843,1879,.449,238,667,.357,467,621,.752,310,1084,416,181,91,345,699
Morehead State,30,2370,2311,878,1906,.461,219,568,.386,395,544,.726,396,1129,482,202,95,404,633
Morgan State,30,2025,2121,691,1793,.385,159,541,.294,484,681,.711,424,1168,322,170,101,420,602
Mount St. Mary's ,36,2446,2474,877,1977,.444,261,730,.358,431,640,.673,276,1082,403,222,142,472,640
Murray State,33,2639,2543,899,2040,.441,289,803,.360,552,751,.735,399,1243,458,198,75,403,659
Navy,32,2076,2055,735,1740,.422,206,670,.307,400,624,.641,424,1134,433,227,66,464,594
Nebraska-Omaha,32,2685,2673,895,1972,.454,297,765,.388,598,799,.748,338,1149,442,262,107,444,616
Nebraska,31,2168,2264,793,1906,.416,179,560,.320,403,568,.710,411,1187,354,211,116,411,577
Nevada-Las Vegas,32,2202,2405,747,1893,.395,213,666,.320,495,711,.696,365,1210,412,189,85,410,539
Nevada ,35,2792,2496,933,2082,.448,320,837,.382,606,859,.705,386,1351,559,189,152,386,581
New Hampshire,32,2277,2118,783,1787,.438,256,727,.352,455,628,.725,324,1227,398,129,59,401,505
New Mexico State ,34,2678,2310,913,1957,.467,252,747,.337,600,843,.712,436,1339,505,166,128,465,627
New Mexico,31,2283,2253,778,1693,.460,145,444,.327,582,780,.746,274,1071,419,189,109,403,611
New Orleans ,32,2331,2215,830,1755,.473,139,438,.317,532,749,.710,386,1140,500,252,97,534,562
Niagara,33,2448,2579,846,2035,.416,244,667,.366,512,683,.750,389,1260,416,172,152,428,604
Nicholls State,31,2316,2464,771,1804,.427,278,805,.345,496,671,.739,303,1020,430,234,190,451,599
NJIT,31,2253,2320,786,1857,.423,258,775,.333,421,599,.703,343,1134,395,203,89,418,599
Norfolk State,34,2374,2430,827,1949,.424,225,663,.339,495,727,.681,365,1307,375,173,180,502,705
North Carolina-Asheville,33,2544,2261,908,1908,.476,264,670,.394,464,681,.681,281,1096,512,306,64,384,553
North Carolina A&T,32,2056,2435,728,1716,.424,200,610,.328,400,587,.681,351,1102,352,144,69,466,629
North Carolina Central ,34,2542,2159,910,2005,.454,255,761,.335,467,684,.683,397,1313,480,209,112,406,587
North Carolina-Greensboro,35,2628,2424,947,2043,.464,308,807,.382,426,603,.706,405,1243,525,245,133,474,638
North Carolina State,32,2483,2547,888,1898,.468,226,635,.356,481,687,.700,329,1161,457,162,140,428,582
North Carolina-Wilmington ,35,2967,2624,1071,2231,.480,336,917,.366,489,708,.691,422,1261,564,234,115,363,699
North Carolina ,40,3377,2824,1226,2633,.466,283,798,.355,642,916,.701,630,1748,722,283,139,473,711
North Dakota State,30,2244,2146,775,1693,.458,232,630,.368,462,650,.711,258,1047,365,183,111,348,501
North Dakota ,32,2578,2357,926,1919,.483,228,585,.390,498,698,.713,297,1146,487,251,93,419,672
North Florida,34,2637,2674,926,2025,.457,295,841,.351,490,748,.655,423,1321,447,185,143,542,639
North Texas,30,2075,2258,740,1747,.424,186,582,.320,409,633,.646,300,1075,338,199,95,410,567
Northeastern,31,2234,2230,767,1682,.456,267,728,.367,433,636,.681,264,1039,414,170,112,390,522
Northern Arizona,32,2217,2436,769,1892,.406,239,746,.320,440,644,.683,382,1218,440,142,63,465,590
Northern Colorado,29,2075,2167,732,1666,.439,254,732,.347,357,590,.605,310,1075,392,147,64,407,563
Northern Illinois,32,2310,2261,828,1891,.438,161,516,.312,493,728,.677,400,1211,347,226,80,429,618
Northern Iowa,30,1854,1931,622,1559,.399,229,702,.326,381,520,.733,182,878,298,197,84,342,464
Northern Kentucky ,35,2659,2507,928,2037,.456,300,859,.349,503,740,.680,391,1319,486,200,98,468,622
Northwestern State,29,2204,2301,751,1698,.442,203,555,.366,499,723,.690,337,1049,405,196,77,439,568
Northwestern ,36,2558,2357,913,2094,.436,256,747,.343,476,637,.747,386,1304,540,190,175,383,691
Notre Dame ,36,2783,2494,980,2139,.458,334,869,.384,489,611,.800,334,1212,566,255,134,341,533
Oakland,34,2699,2419,935,2057,.455,247,738,.335,582,765,.761,353,1324,576,266,170,462,592
Ohio State,32,2329,2232,827,1786,.463,211,592,.356,464,680,.682,324,1191,434,166,121,423,562
Ohio,31,2387,2166,835,1837,.455,285,742,.384,432,626,.690,284,1141,415,182,88,388,550
Oklahoma State ,33,2828,2589,957,2050,.467,294,732,.402,620,786,.789,454,1215,486,252,99,432,730
Oklahoma,31,2262,2299,788,1863,.423,192,558,.344,494,685,.721,361,1173,328,213,147,428,602
Old Dominion,31,1998,1896,727,1765,.412,157,485,.324,387,602,.643,412,1190,422,196,142,348,566
Oral Roberts,30,2252,2398,810,1819,.445,216,588,.367,416,548,.759,278,1034,423,162,88,360,534
Oregon State,32,2021,2321,721,1686,.428,203,586,.346,376,569,.661,290,1038,380,177,118,491,611
Oregon ,39,3076,2565,1091,2270,.481,334,880,.380,560,787,.712,412,1431,614,253,248,454,614
Pacific,33,2206,2371,784,1939,.404,185,560,.330,453,671,.675,385,1225,396,140,63,386,690
Penn State,33,2367,2400,825,1989,.415,230,679,.339,487,654,.745,330,1166,449,224,184,430,596
Pennsylvania,28,1928,1904,710,1603,.443,234,690,.339,274,417,.657,267,972,401,181,100,358,501
Pepperdine,31,2140,2490,807,1811,.446,178,482,.369,348,543,.641,295,1033,420,157,84,389,531
Pittsburgh,33,2404,2464,807,1825,.442,263,728,.361,527,719,.733,314,1158,473,127,112,396,548
Portland State,31,2645,2535,959,1991,.482,238,697,.341,489,743,.658,322,1064,491,307,81,376,590
Portland,33,2215,2383,758,1793,.423,214,573,.373,485,655,.740,278,1098,325,163,112,424,581
Prairie View,33,2276,2419,788,1839,.428,237,678,.350,463,659,.703,292,1019,404,273,121,436,700
Presbyterian,30,1836,2245,667,1618,.412,181,523,.346,321,468,.686,300,979,364,143,72,451,519
Princeton ,30,2149,1843,772,1716,.450,298,789,.378,307,416,.738,247,1003,426,200,93,298,482
Providence ,33,2319,2207,804,1795,.448,239,645,.371,472,683,.691,294,1101,471,218,98,412,569
